User_ID,Age,Gender,Workouts_per_Week,Avg_Session_Duration_Min,Steps_per_Day,Subscription_Type,Churned
1,56,Male,1,27.7,2055,Free,1
2,46,Female,6,68.6,10717,Free,0
3,32,Female,5,28.1,14761,Free,0
4,25,Male,6,64.2,14315,Free,0
5,38,Female,1,44.6,10150,Free,0
6,56,Female,6,19.3,4125,Free,0
7,36,Female,2,29.4,13479,Free,1
8,40,Female,1,64.9,2364,Free,1
9,28,Male,1,51.7,8809,Free,0
10,28,Male,1,43.8,6621,Premium,0
11,41,Female,0,11.7,7126,Premium,1
12,53,Female,0,65.8,7122,Free,1
13,57,Male,0,73.1,3646,Premium,1
14,41,Male,2,70.3,2918,Free,1
15,20,Female,5,35.8,4797,Premium,0
16,39,Male,6,50.7,8506,Free,0
17,19,Female,4,52.4,7870,Premium,0
18,41,Female,1,22.1,3531,Premium,1
19,47,Male,6,47.7,10172,Premium,0
20,55,Male,1,61.1,5345,Premium,0
21,19,Female,2,56.5,9673,Free,1
22,38,Female,1,28.3,8949,Free,0
23,50,Male,0,32.1,8882,Premium,0
24,29,Female,4,56.9,3906,Free,0
25,39,Male,3,54.5,5086,Premium,0
26,42,Female,1,11.2,10152,Free,0
27,44,Male,6,8.2,7750,Free,0
28,59,Male,0,43.9,14772,Free,0
29,45,Male,3,36.2,12267,Free,0
30,33,Female,4,40.5,10905,Premium,0
31,32,Female,3,38.8,3062,Free,0
32,20,Male,0,59.8,3976,Free,0
33,54,Female,5,46.6,3296,Free,0
34,24,Male,5,49,8229,Free,0
35,38,Male,3,24.9,9641,Premium,0
36,26,Female,2,-5.5,2125,Free,1
37,56,Female,6,61.9,6632,Free,0
38,35,Male,6,77.1,8288,Free,0
39,21,Female,3,39.9,5596,Premium,0
40,42,Female,1,48.7,13475,Free,0
41,31,Male,1,49.9,8168,Premium,0
42,26,Male,6,70.1,11795,Premium,0
43,43,Female,6,58.3,9561,Free,0
44,19,Male,5,52.4,10258,Free,0
45,37,Male,2,45.8,2232,Free,0
46,45,Female,0,45.9,12348,Free,0
47,24,Male,1,23.4,11361,Premium,0
48,25,Male,6,39.2,12350,Premium,0
49,52,Female,5,58.3,8371,Free,0
50,31,Female,4,41.5,6206,Free,1
51,34,Male,5,45.7,11685,Free,0
52,53,Male,1,27.4,14910,Premium,0
53,57,Female,1,51.7,9943,Free,0
54,21,Female,5,23.1,14199,Free,0
55,19,Female,0,49.3,8891,Premium,1
56,23,Female,3,42.2,8738,Premium,0
57,59,Male,1,18.9,4472,Free,0
58,21,Female,5,61,12852,Premium,0
59,46,Female,6,42.5,4739,Premium,1
60,35,Male,5,72.9,7401,Free,1
61,43,Female,2,67.2,3761,Free,1
62,51,Male,3,31.8,13706,Free,0
63,27,Female,4,33.1,12167,Free,0
64,53,Female,0,27.4,12554,Premium,0
65,31,Female,4,21.2,2876,Premium,0
66,48,Male,3,38.7,5812,Free,0
67,32,Male,3,66.7,13640,Free,0
68,25,Female,3,16.3,11504,Free,0
69,31,Male,4,57.8,3460,Free,0
70,40,Male,6,56.5,12901,Premium,0
71,57,Male,3,53.3,12516,Free,1
72,38,Male,5,56,3733,Free,0
73,33,Male,4,28.4,3605,Free,0
74,35,Male,3,56.4,7622,Premium,1
75,41,Female,5,36.8,8767,Free,0
76,43,Female,6,8.1,12755,Premium,0
77,42,Male,2,45.9,13613,Free,0
78,58,Female,6,32.3,8986,Premium,0
79,46,Female,3,65.4,5517,Premium,1
80,32,Female,4,40.7,12589,Free,0
81,18,Female,1,45.7,5735,Free,0
82,42,Male,3,50.8,13062,Premium,0
83,24,Female,1,41,11352,Premium,0
84,26,Female,5,43.4,10434,Free,0
